"location","total_vaccinations","cum_total_vaccinations"
"Argentina","2021-02-20",13849614
"Argentina","2021-02-21",14569881
"Argentina","2021-02-22",15292115
"Argentina","2021-02-23",16038730
"Argentina","2021-02-24",16819185
"Argentina","2021-02-25",17649017
"Argentina","2021-02-26",18552932
"Argentina","2021-02-27",19537827
"Argentina","2021-02-28",20562830
"Argentina","2021-03-01",21611999
"Argentina","2021-03-02",22738107
"Argentina","2021-03-03",23919399
"Argentina","2021-03-04",25171860
"Argentina","2021-03-05",26529456
"Argentina","2021-03-07",28055534
"Argentina","2021-03-08",29602233
"Argentina","2021-03-09",31251190
"Argentina","2021-03-10",33025628
"Argentina","2021-03-11",34944702
"Argentina","2021-03-12",37042907
"Argentina","2021-03-13",39337645
"Argentina","2021-03-14",41719074
"Argentina","2021-03-15",44123268
"Argentina","2021-03-16",46664630
"Argentina","2021-03-17",49332733
"Argentina","2021-03-18",52137886
"Argentina","2021-03-19",55077250
"Argentina","2021-03-20",58141114
"Argentina","2021-03-21",61260942
"Argentina","2021-03-22",64403386
"Argentina","2021-03-23",67644117
"Argentina","2021-03-24",70973050
"Argentina","2021-03-25",74338889
"Argentina","2021-03-26",77813304
"Argentina","2021-03-27",81383764
"Argentina","2021-03-28",85009047
"Argentina","2021-03-29",88655115
"Argentina","2021-03-30",92399681
"Argentina","2021-03-31",96291613
"Argentina","2021-04-01",100314630
"Argentina","2021-04-02",104437782
"Argentina","2021-04-03",108616678
"Argentina","2021-04-04",112851183
"Argentina","2021-04-05",117111991
"Argentina","2021-04-06",121516166
"Argentina","2021-04-07",126087985
"Argentina","2021-04-08",130859199
"Argentina","2021-04-09",135815222
"Argentina","2021-04-10",141016690
"Argentina","2021-04-11",146330302
"Argentina","2021-04-12",151720302
"Argentina","2021-04-13",157292180
"Argentina","2021-04-14",163047099
"Argentina","2021-04-15",168982245
"Argentina","2021-04-16",175075261
"Argentina","2021-04-17",181302133
"Argentina","2021-04-18",187590945
