"location","vaccines_name"
"Latvia","Johnson&Johnson"
"Latvia","Moderna"
"Latvia","Oxford/AstraZeneca"
"Latvia","Pfizer/BioNTech"
"Lebanon","Oxford/AstraZeneca"
"Lebanon","Pfizer/BioNTech"
"Lebanon","Sinopharm/Beijing"
"Lebanon","Sputnik V"
"Lesotho","Oxford/AstraZeneca"
"Liberia","Oxford/AstraZeneca"
"Libya","Johnson&Johnson"
"Libya","Moderna"
"Libya","Oxford/AstraZeneca"
"Libya","Pfizer/BioNTech"
"Libya","Sinovac"
"Libya","Sputnik V"
"Liechtenstein","Moderna"
"Liechtenstein","Pfizer/BioNTech"
"Lithuania","Johnson&Johnson"
"Lithuania","Moderna"
"Lithuania","Oxford/AstraZeneca"
"Lithuania","Pfizer/BioNTech"
"Luxembourg","Moderna"
"Luxembourg","Oxford/AstraZeneca"
"Luxembourg","Pfizer/BioNTech"
"Macao","Pfizer/BioNTech"
"Macao","Sinopharm/Beijing"
"Madagascar","Oxford/AstraZeneca"
"Malawi","Oxford/AstraZeneca"
"Malaysia","Oxford/AstraZeneca"
"Malaysia","Pfizer/BioNTech"
"Malaysia","Sinovac"
"Maldives","Oxford/AstraZeneca"
"Maldives","Pfizer/BioNTech"
"Maldives","Sinopharm/Beijing"
"Mali","Oxford/AstraZeneca"
"Malta","Johnson&Johnson"
"Malta","Moderna"
"Malta","Oxford/AstraZeneca"
"Malta","Pfizer/BioNTech"
"Mauritania","BBIBP-CorV"
"Mauritania","Oxford/AstraZeneca"
"Mauritius","BBIBP-CorV"
"Mauritius","Covaxin"
"Mauritius","Oxford/AstraZeneca"
"Mexico","CanSino"
"Mexico","Oxford/AstraZeneca"
"Mexico","Pfizer/BioNTech"
"Mexico","Sinovac"
"Mexico","Sputnik V"
"Moldova","Oxford/AstraZeneca"
"Moldova","Pfizer/BioNTech"
"Moldova","Sinopharm/Beijing"
"Moldova","Sputnik V"
"Monaco","Pfizer/BioNTech"
"Mongolia","Oxford/AstraZeneca"
"Mongolia","Pfizer/BioNTech"
"Mongolia","Sinopharm/Beijing"
"Mongolia","Sputnik V"
"Montenegro","Oxford/AstraZeneca"
"Montenegro","Pfizer/BioNTech"
"Montenegro","Sinopharm/Beijing"
"Montenegro","Sputnik V"
"Montserrat","Oxford/AstraZeneca"
"Morocco","Oxford/AstraZeneca"
"Morocco","Sinopharm/Beijing"
"Mozambique","Oxford/AstraZeneca"
"Mozambique","Sinopharm/Beijing"
"Myanmar","Oxford/AstraZeneca"
"Namibia","Oxford/AstraZeneca"
"Namibia","Sinopharm/Beijing"
"Nauru","Oxford/AstraZeneca"
"Nepal","Oxford/AstraZeneca"
"Nepal","Sinopharm/Beijing"
"Netherlands","Johnson&Johnson"
"Netherlands","Moderna"
"Netherlands","Oxford/AstraZeneca"
"Netherlands","Pfizer/BioNTech"
"New Caledonia","Pfizer/BioNTech"
"New Zealand","Pfizer/BioNTech"
"Nicaragua","Oxford/AstraZeneca"
"Nicaragua","Sputnik V"
"Niger","BBIBP-CorV"
"Niger","Oxford/AstraZeneca"
"Nigeria","Oxford/AstraZeneca"
"North Macedonia","Oxford/AstraZeneca"
"North Macedonia","Pfizer/BioNTech"
"North Macedonia","Sinopharm/Beijing"
"North Macedonia","Sinovac"
"North Macedonia","Sputnik V"
