location,iso_code,last_observation_date,vaccines
Lithuania,LTU,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Macao,MAC,21-06-2021,"Pfizer/BioNTech, Sinopharm/Beijing"
Madagascar,MDG,20-06-2021,Oxford/AstraZeneca
Malawi,MWI,19-06-2021,Oxford/AstraZeneca
Malaysia,MYS,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Maldives,MDV,19-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Mali,MLI,20-06-2021,Oxford/AstraZeneca
Malta,MLT,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mauritania,MRT,20-06-2021,"BBIBP-CorV, Oxford/AstraZeneca"
Mauritius,MUS,20-06-2021,"BBIBP-CorV, Covaxin, Oxford/AstraZeneca"
Mexico,MEX,20-06-2021,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Moldova,MDA,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Monaco,MCO,10-06-2021,Pfizer/BioNTech
Mongolia,MNG,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Montenegro,MNE,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Montserrat,MSR,18-06-2021,Oxford/AstraZeneca
Morocco,MAR,21-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Mozambique,MOZ,10-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Myanmar,MMR,13-05-2021,Oxford/AstraZeneca
Namibia,NAM,21-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Nauru,NRU,21-06-2021,Oxford/AstraZeneca
Nepal,NPL,19-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Netherlands,NLD,20-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
New Caledonia,NCL,21-06-2021,Pfizer/BioNTech
New Zealand,NZL,15-06-2021,Pfizer/BioNTech
Nicaragua,NIC,21-05-2021,"Oxford/AstraZeneca, Sputnik V"
Niger,NER,14-06-2021,"BBIBP-CorV, Oxford/AstraZeneca"
Nigeria,NGA,04-06-2021,Oxford/AstraZeneca
North Macedonia,MKD,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
Northern Cyprus,OWID_CYN,27-05-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Northern Ireland,OWID_NIR,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,21-06-2021,"Moderna, Pfizer/BioNTech"
Oman,OMN,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Pakistan,PAK,21-06-2021,"CanSino, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
Palestine,PSE,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Panama,PAN,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Papua New Guinea,PNG,07-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Paraguay,PRY,17-06-2021,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
Peru,PER,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Philippines,PHL,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Pitcairn,PCN,21-06-2021,Oxford/AstraZeneca
Poland,POL,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,21-06-2021,"Moderna, Pfizer/BioNTech"
Romania,ROU,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,21-06-2021,"EpiVacCorona, Sputnik V"
Rwanda,RWA,06-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Saint Helena,SHN,05-05-2021,Oxford/AstraZeneca
Saint Kitts and Nevis,KNA,15-06-2021,Oxford/AstraZeneca
Saint Lucia,LCA,19-06-2021,Oxford/AstraZeneca
Saint Vincent and the Grenadines,VCT,15-06-2021,Oxford/AstraZeneca
Samoa,WSM,21-06-2021,Oxford/AstraZeneca
San Marino,SMR,21-06-2021,"Pfizer/BioNTech, Sputnik V"
Sao Tome and Principe,STP,14-06-2021,Oxford/AstraZeneca
Saudi Arabia,SAU,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,OWID_SCT,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Senegal,SEN,15-06-2021,"BBIBP-CorV, Oxford/AstraZeneca"
Serbia,SRB,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,18-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Sierra Leone,SLE,20-06-2021,"BBIBP-CorV, Oxford/AstraZeneca"
Singapore,SGP,14-06-2021,"Moderna, Pfizer/BioNTech"
Sint Maarten (Dutch part),SXM,18-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Slovakia,SVK,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Slovenia,SVN,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Solomon Islands,SLB,21-06-2021,Oxford/AstraZeneca
Somalia,SOM,20-06-2021,"BBIBP-CorV, Oxford/AstraZeneca, Sinovac"
South Africa,ZAF,19-06-2021,"Johnson&Johnson, Pfizer/BioNTech"
South Korea,KOR,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
South Sudan,SSD,20-06-2021,Oxford/AstraZeneca
Spain,ESP,20-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,LKA,21-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
